Sighted date,Sighted Date (Date Format),Reported date,Reported Date (Date Format),Location,State in USA,US State,Country,Region,Shape,Duration,Duration Extract Num,Duration in Seconds,Visibility Duration,Description
20100603,6/3/2010,20100706,7/6/2010, Bluffton, IN,IN,USA,Midwest, circle,15 min.,15,900,long,The object did look like it was made out of a gray metalI and three witnesses saw a craft inter our atmosphere glowing and burning. then stop at around 5000 feet and it seem to cool off then fly northwest across the sky it&apos;s shape was a circle from underneath. then flew off in the night. there was no lights or sound.}
20100704,7/4/2010,20100707,7/7/2010, Bernie, MO,MO,USA,Midwest, light,3 minutes,3,180,short,"Orange ball of light moving over Bernie, Mo.Orange ball of light moving across the sky from south to north with no sound.  Clear skies.  Moved at a normal speed but was no higher than a small spray plane.  Had no blinking lights.It moved over the city in which we live.  The light from ground view was the size of a tennis ball.  We thought it was a firework at first, we were facing south and it kept coming north and went right over us and our house.  We watched till it faded out of sight.}"
20100703,7/3/2010,20100707,7/7/2010, Caroline (Canada), AB,AB,Canada,#N/A, formation,5 min,5,300,short,not sure what it was?Two lights.  One light followed by the other.  The leading light was the larger light about 5mm in diamiter and the following light about 1mm.  Lights were six inches apart.  Lights were not flashing and could not here a sound.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))}
20100628,6/28/2010,20100629,6/29/2010, Lincoln, NE,NE,USA,Midwest, light,About 8 min.,8,480,long,"I saw an orange light almost directly above my house, in east Lincoln.  It was a little bigger than a star.I stepped outside to take my dog out and looked at the sky as I always do.  This time though, I saw an orange light almost directly above my house, in east Lincoln.  It was a little bigger than a star and moving very slowly.  It took approximately 8 minutes for it to get 2 houses down from mine.  Shortly after, it seemed to move directly away from me very quickly as I could see the light getting smaller and fading out.  It didn&rsquo;t blink like the lights on a plane, nor did it move like a plane or helicopter.  It also made no sound.}"
20100731,7/31/2010,20100731,7/31/2010, Oregon House, CA,CA,USA,West, light,5 minutes,5,300,short,"Four lights at dusk that appear then dissaappearI was sitting outside with a friend having dinner in his garden.  I was sitting at a table between two modular homes. I was facing approximately, North, North-East.  At the time of the siting, I looked up about 45 degrees and saw a light in the sky.  Then there was a second light to the left of the first one. I first thought there these were early stars, but the sky was still quite blue, the star Antaries, which usually came out first, directly above, was not out yet.My first thought was that I was seeing an aircraft, or a satellite, or a space station.  I commented to my friend about seeing two lights.  Then the one to the left started to move to the left.  As it did, two other lights appeared about these first two.  They were closer together than the firs two.  Then the second light that moved to the left disappeared.  Thie direction would be toward the North West. Now there was just the three.  Then the upper two lights disappeared followed by the first light.I was puzzled because, these lights really looked like faint stars, but it was too early for stars to appear. The final formation of these four points of light could be labeled like the geometric figure known as a trapezoid.  The lower left point of light was the one that moved away. I tried to see if the other three moved in any direction. They did not. They only disappeared.Thirty minutes later when the Great Dipper came out I tried to get my bearings to determine which part of the sky these lights appeared. This was approximately above the constellation of Cassiopeia.  But not as high as the North Star.This siting was so unusual that I got up from the dinner table and started mentioning to my friend that there were some lights in the sky and that one was moving. It was shortly after standing up that the other two higher lights appeared and then disappeared. My friend also got up from the table.  I pointed to the area of the sky where I was seeing the lights.  I asked him if he saw the lights, but he said he did not see any lights.Usually I wear contact lenses in both eyes.  For over a month I have not worn a contact lens in my left eye, in order to prepare for an eye test, prior to cataract surgery.  I was only wearing one contact lens in my right eye.   My vision in my right eye, with corrective lens is better than normal.  It is between 20/50 and 20/70.   I am very certain that I say what I saw.  Also, I have an uncanny suspicion, that these lights were part of the same phenomenon.}"
20100724,7/24/2010,20100724,7/24/2010, Williston, ND,ND,USA,Midwest, triangle,over 5 hours,5,18000,very long,"triangle sighting that was in the same spot for over 4 hours only moved in figured 8 ways,the craft was a triangle it was staying in the same area just moving slightly it could move from side to side back to back and never had to turn around it had no lights but u could see it threw the clouds,  It coverd the north star several times I called the cops at about 1:45 or so at about 2:50am they showed up they all seen it and hed no explanation, one said it may be a kite but theres no way a kite could be that high and be in the same spot for over 4 hours and cover the north star.Needless to say i didnt get any sleep and by the time the sun started to come up it was gone.((NUFORC Note:  Probably not a UFO.  PD))}"
20100717,7/17/2010,20100717,7/17/2010, Columbia Falls, MT,MT,USA,West, light,10 minutes,10,600,long,"3 lights in the skyI was standing outside with my brother having a smoke and happened to look up in the sky.  It looked like it was just a satellite moving accross the sky but it lit up for maybe 10 seconds brighter than the North Star.  Then it suddenly changed direction and faded away.  Right behind it came another one that followed it, then a third came from a different direction and disapeared in the same area as the first two.I really have know clue what it was but I have noticed that the past week there has been a lot more activity in the sky at night than I have ever seen before.  I have seen shooting stars,sattellites, etc.  But this was just really weird.Just the first one made a real bright light, the others were dim but they moved very fast.  Possibly aircraft?}"
20100709,7/9/2010,20100709,7/9/2010, Selden, NY,NY,USA,Northeast, circle,30 seconds,30,30,very short,"Strange object moved across almost the entire night sky, looked like a star, but wasn&apos;tFriday, @ 10:12pm on 7/9/10, I was sitting outside my home and looked up into the night sky.  I saw something that looked just like any regular star in the sky move across almost the entire night skyline until it dimmed and disappeared.  It was too far away and small with no other lights to be a plane.  It had no trail streak behind it, nor did it move fast enough to be a shooting star.((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  ISS?  PD))}"
19740815,8/15/1974,20100711,7/11/2010, Pullman/Allegan, MI,MI,USA,Midwest, circle,Unknown,#VALUE!,#VALUE!,#VALUE!,"followed by a circular disc shaped object down road in the after noonI was only 15 maybe 16 when this happened and my youngest brother and my mom were on our way to Bloomingdale to a friends house to watch this program we all watched on Saturdays together.  We were headed down 109th ave. to get there and were only about a mile and a half from our place when my brother noticed something in the air above us and to the left of the road.  It was stationary for a short while and then seemed to follow us if mom speeded up it did when she slowed down it did.  It followed us for about 2 or 3 miles down the road.It seemed sort of metallic and seemed to reflect the after noon setting suns colors of a light to dark burnt orange colors, and was circular or round in shape.  It most definitely was not a balloon there was no basket under it and what we could see from a side angle it was more of a disc.  Other then our friends we never discussed or reported it to any authorities .  After following us for a while it suddenly shot straight up and disappeared.  We checked around and nothing was in the news about it so that only reinforced our resolve to not report it.  Most people would have laughed and teased us about it.((NUFORC Note:  Date is flawed.  We assume a sighting in 1974, and we have amended the date above to reflect that assumption.  PD))}"
20100629,6/29/2010,20100722,7/22/2010, McKinney, TX,TX,USA,South, unknown,Unknown,#VALUE!,#VALUE!,#VALUE!,"Upon closer inspection of the pictureI took this on June 29th, 2010, as I was leaving Kroger.  It was crazy, the sky turned purple, the wind picked up, it got cold, I thought there was going to be a tornado for sure.  Well upon inspection of the photo the next morning, there is something else in the picture.  At first I attributed it to the zoom and me moving a little bit, but I can tell that I wasn&apos;t moving that much because you can tell by looking at the Kroger and Starbucks signage.  Look above the Starbucks sign, in the darker purple area just above the lighter purple, there are 3 green lights.  You cant miss them.  It&apos;s not a glare, because I was standing outside and there was not a car driving toward me.  Anyway, I&apos;m not saying it was a UFO, but I am saying it is weird!}"
